ODP846 Alkenone SST 
Depth            Age        SST 
38.91       1074.353       24.8
39.01       1075.946       25.2
39.12       1077.651       24.5
39.21       1079.047       24.3
39.31       1080.597       24.7
39.42       1082.303       24.5
39.52       1083.853       24.5
39.62       1085.404       24.4
39.72       1086.954       24.2
39.83       1088.660       23.5
39.94       1090.417       23.2
40.05       1092.691       23.2
40.06       1092.898       23.1
40.17       1095.173       22.8
40.29       1097.654       22.7
40.39       1099.722       22.7
40.48       1101.582       23.1
40.56       1103.237       23.2
40.7        1106.131         24
40.77       1107.579       24.3
40.84       1109.026       24.1
40.91       1110.474       23.7
41          1112.723       23.1
41.1        1115.311         23
41.2        1117.898       22.8
41.21       1118.157       22.8
41.33       1121.226       22.5
41.34       1121.433       22.5
41.45       1123.708         22
41.58       1126.396       21.6
41.7        1128.878         22
41.8        1130.946       22.2
41.9        1133.014       22.3
41.99       1134.875       22.4
42.09       1136.943       23.2
42.17       1138.597       23.1
42.26       1140.458       22.7
42.36       1142.739       22.9
42.46       1145.320       23.2
42.47       1145.579       23.2
42.56       1147.905       23.3
42.67       1150.751         23
42.77       1153.336       23.6
42.88       1156.176       24.1
42.98       1158.761         24
43.07       1161.091       24.3
43.17       1163.678       24.6
43.26       1166.006       24.8
43.36       1168.591       25.1
43.46       1171.174       25.7
43.56       1173.758       25.5
43.61       1175.052       25.8
43.72       1177.966       24.9
43.82       1181.412       24.8
43.92       1184.859       25.1
44.02       1188.306       24.4
44.11       1191.408       24.3
44.2        1194.510         24
44.29       1197.612       23.3
44.38       1201.018       22.5
44.48       1204.894       22.7
44.58       1208.770         24
44.69       1213.033         24
44.8        1216.900       23.6
44.81       1217.244       23.6
44.91       1220.692       23.3
45.02       1224.485       24.8
45.12       1227.932       25.6
45.21       1231.035       25.9
45.3        1234.138       26.1
45.39       1236.501       25.6
45.48       1238.826         25
45.58       1241.411       24.6
45.73       1245.113       24.4
45.83       1247.051       23.6
45.93       1248.989       22.4
45.97       1249.764       22.5
46.06       1251.508       22.1
46.14       1253.059       22.1
46.25       1255.190       21.6
46.37       1257.516       21.9
46.46       1259.260       22.2
46.47       1259.454       22.1
46.56       1262.124       22.1
46.66       1265.572       22.4
46.86       1272.469       23.7
46.97       1276.262       23.1
47.07       1279.710       23.2
47.16       1281.844       22.9
47.26       1283.782       23.2
47.36       1285.720       23.4
47.46       1287.658       23.4
47.47       1287.852       23.5
47.56       1289.596       23.5
47.57       1289.790       23.5
47.66       1291.534       23.6
47.67       1291.728       23.6
47.76       1293.472       23.1
47.77       1293.666       23.3
47.83       1294.828       23.2
47.86       1295.410       23.2
47.96       1297.085       23.1
48.06       1298.636       23.6
48.09       1299.102       23.1
48.16       1300.187       23.1
48.23       1301.273         23
48.26       1301.739       23.2
48.34       1302.980         23
48.36       1303.290       23.2
48.46       1304.841       23.2
48.47       1304.996         23
48.56       1306.393       23.3
48.61       1307.168       23.4
48.66       1307.944         23
48.76       1309.495       23.8
48.77       1309.650       23.9
48.86       1311.046       23.8
48.87       1311.202       23.8
48.89       1311.540       23.8
48.96       1313.348         24
48.99       1314.123       23.8
49.06       1315.931       24.2
49.07       1316.189       24.6
49.08       1316.447       24.5
49.14       1317.999       25.1
49.16       1318.516       25.1
49.21       1319.810       25.3
49.27       1321.362       24.7
49.33       1323.297       23.9
49.4        1325.710       23.6
49.46       1327.778       23.5
49.53       1330.191       23.6
49.61       1332.948       23.6
49.71       1336.395       23.5
49.83       1340.531       23.6
49.96       1343.942       23.6
50.08       1346.424       23.9
50.09       1346.631       23.9
50.19       1348.698       24.2
50.29       1350.766       24.8
50.39       1352.834       25.2
50.48       1354.695       25.3
50.58       1356.762       25.4
50.68       1358.830       25.6
50.81       1361.518       26.2
50.94       1364.530       26.1
51.07       1367.894       24.3
51.18       1370.734       23.5
51.27       1373.058       23.3
51.28       1373.316       23.3
51.35       1375.128       23.2
51.44       1377.457       23.2
51.51       1379.494       23.1
51.58       1381.756       23.4
51.66       1384.342         24
51.74       1386.927       23.2
51.82       1389.512       23.2
51.92       1392.744       23.7
52.01       1395.652       23.9
52.1        1398.561       24.2
52.21       1402.115       24.2
52.31       1405.094       24.3
52.32       1405.352       24.3
52.33       1405.611       24.3
52.34       1405.869       24.3
52.42       1407.934         24
52.43       1408.192       23.9
52.54       1411.486       23.8
52.55       1411.809       23.9
52.66       1415.364       23.8
52.67       1415.687       23.9
52.78       1419.241       24.2
52.79       1419.565       24.2
52.88       1422.473         24
52.89       1422.796       24.1
52.98       1425.705       23.9
52.99       1426.028         24
53.06       1428.290         24
53.07       1428.613         24
53.14       1430.875       24.5
53.15       1431.198       24.5
53.22       1433.461       24.7
53.23       1433.784       24.7
53.31       1436.088       24.6
53.32       1436.347       24.6
53.4        1438.417       24.6
53.41       1438.676       24.6
53.5        1441.228       24.9
53.6        1444.458         25
53.7        1447.688       25.8
53.81       1451.242       25.6
53.91       1454.472         24
54.01       1457.702       23.5
54.1        1460.610       24.3
54.19       1463.517       23.8
54.29       1466.565       24.1
54.4        1469.410       24.2
54.5        1471.995       23.9
54.61       1474.836       24.1
54.62       1475.095         24
54.71       1477.421       24.4
54.81       1480.008         25
54.91       1483.476       25.3
55          1487.355       25.2
55.1        1491.664         25
55.2        1495.973       22.9
55.31       1500.713       22.8
55.41       1505.022       23.1
55.52       1509.761       22.8
55.62       1514.067       23.8
55.71       1517.943       23.7
55.81       1522.250       23.9
55.91       1526.557       23.4
56.01       1530.864       22.6
56.1        1534.337       22.2
56.2        1537.786       22.1
56.21       1538.130       22.1
56.3        1541.234       22.5
56.39       1544.337       22.9
56.5        1548.131       22.9
56.62       1552.269       23.4
56.74       1555.628       23.6
56.87       1558.986       23.7
57.01       1562.609       24.1
57.15       1566.226       24.2
57.16       1566.484       24.1
57.27       1569.325       23.7
57.28       1569.584       23.7
57.4        1572.689       23.7
57.41       1572.948       23.5
57.46       1574.359       23.1
57.51       1576.082       23.1
57.52       1576.426       23.1
57.53       1576.771       23.1
57.61       1579.528       23.1
57.68       1581.940         23
57.71       1582.974       23.5
57.79       1585.731       23.7
57.81       1586.420         24
57.91       1589.866       23.4
58          1592.968       23.4
58.01       1593.312       23.5
58.11       1596.616       23.4
